Key	Type	Desc	Українська [c0]
Items/DriftwoodTableDesc	Text		Хтось зробив його з матеріалів, що плавають у воді.
Items/Drill	Text		Дриль
Items/DrillDesc	Text		Може повільно свердлити тверді матеріали, такі як рудні валуни, під час роботи від електрики.
Items/DryButterfly	Text		Сухий метелик
Items/DryButterflyDesc	Text		Мертва комаха, позбавлена будь-якої вологи. На нього приємно дивитися, але поводитися з ним потрібно обережно.
Items/DynamitePack	Text		Шматок динаміту
Items/DynamitePackDesc	Text		Щільна упаковка вибухівки, яку можна безпечно підірвати за допомогою зовнішнього детонатора.
Items/EarPlate	Text		Вушна пластина
Items/EarPlateDesc	Text		Квадратна сережка, покрита золотом.
Items/EarlyHumanSkull	Text		Череп ранньої людини
Items/EarlyHumanSkullDesc	Text		Рештки людини, яка жила близько 200 000 років тому. Чи знаходило людство ці печери раніше?
Items/EasterAzeosTrophy	Text		Фігурка Пробуджений Азеос
Items/EasterAzeosTrophyDesc	Text		Унікальне реалістичне зображення Пробудженого Азеоса.
Items/EasterChest	Text		Золота скриня титана
Items/EasterChestDesc	Text		Унікальний варіант великої стародавньої скрині.
Items/EasterChickenHat	Text		Курячий капелюх
Items/EasterChickenHatDesc	Text		Дерповий курячий капелюх, який буде в центрі уваги на наступній вечірці. Кумедно кудкудакає!
Items/EasterChickenPants	Text		Курячі штани
Items/EasterChickenPantsDesc	Text		Ці кричущі штани з курячої шкіри завершують образ великоднього костюма, що нагадує яйця.
Items/EasterChickenSuit	Text		Куряча грудка
Items/EasterChickenSuitDesc	Text		Свербляче пір'я та нестача вентиляції роблять цей курячий костюм сміливим вибором одягу.
Items/EasterDaisyFloorspread	Text		Підлога з маргариток
Items/EasterDaisyFloorspreadDesc	Text		Жменька маргариток, зроблена для того, щоб посипати підлогу весняним ароматом. Одного пакета достатньо, щоб покрити плитку розміром 1х1.
